source,ruleset_name,rule_name
https://github.com/ditekshen/detection,indicator_packed,INDICATOR_EXE_Packed_Themida
https://github.com/InQuest/yara-rules-vt,Windows_API_Function,Windows_API_Function
https://github.com/Neo23x0/signature-base,gen_cobaltstrike_by_avast,Cobaltbaltstrike_Beacon_Encoded
https://github.com/chronicle/GCTI,CobaltStrike__Resources_Template_Py_v3_3_to_v4_x,CobaltStrike_Resources_Template_Py_v3_3_to_v4_x
https://github.com/eset/malware-ioc,skip20_sqllang_hook,skip20_sqllang_hook
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_7f8da98a
https://github.com/InQuest/yara-rules-vt,Office_Document_with_VBA_Project,Office_Document_with_VBA_Project
https://github.com/ditekshen/detection,indicator_knownbad_certs,INDICATOR_KB_CERT_0a1f3a057a1dce4bf7d76d0c7adf837e
https://github.com/Neo23x0/signature-base,apt_cobaltstrike,HKTL_CobaltStrike_Beacon_Strings
https://github.com/Neo23x0/signature-base,apt_cobaltstrike,HKTL_Win_CobaltStrike
https://github.com/Neo23x0/signature-base,apt_cobaltstrike_evasive,CobaltStrike_C2_Encoded_XOR_Config_Indicator
https://github.com/Neo23x0/signature-base,gen_fireeye_redteam_tools,Trojan_Raw_Generic_4
https://github.com/Neo23x0/signature-base,gen_xor_hunting,SUSP_XORed_Mozilla
https://github.com/chronicle/GCTI,CobaltStrike__Sleeve_BeaconLoader_all,CobaltStrike_Sleeve_BeaconLoader_VA_x86_o_v4_3_v4_4_v4_5_and_v4_6
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_f0b627fc
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_3dc22d14
https://github.com/elastic/protections-artifacts,Windows_Trojan_Metasploit,Windows_Trojan_Metasploit_7bc0f998
https://github.com/elastic/protections-artifacts,Windows_Trojan_Metasploit,Windows_Trojan_Metasploit_c9773203
https://github.com/kevoreilly/CAPEv2,CobaltStrikeBeacon,CobaltStrikeBeacon
https://github.com/volexity/threat-intel,yara,trojan_win_cobaltstrike
https://github.com/Neo23x0/signature-base,gen_cobaltstrike_by_avast,Cobaltbaltstrike_Payload_Encoded
https://github.com/Neo23x0/signature-base,gen_imphash_detection,HKTL_Imphashes_Aug22_1
https://github.com/chronicle/GCTI,CobaltStrike__Resources_Artifact64_v1_49_to_v4_x,CobaltStrike_Resources_Artifact64_v3_14_to_v4_x
https://github.com/Neo23x0/signature-base,gen_metasploit_payloads,Msfpayloads_msf_ref
https://github.com/chronicle/GCTI,CobaltStrike__Resources_Template_x64_Ps1_v3_0_to_v4_x_excluding_3_12_3_13,CobaltStrike_Resources_Template_x64_Ps1_v3_0_to_v4_x_excluding_3_12_3_13
https://github.com/bartblaze/Yara-rules,ISO_exec,ISO_exec
https://github.com/Neo23x0/signature-base,apt_cobaltstrike_evasive,CobaltStrike_Unmodifed_Beacon
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_c851687a
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_09b79efa
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_15f680fb
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_5b4383ec
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_91e08059
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_d00573a3
https://github.com/Neo23x0/signature-base,gen_cobaltstrike_by_avast,Cobaltbaltstrike_Beacon_XORed_x64
https://github.com/elastic/protections-artifacts,Windows_Trojan_CobaltStrike,Windows_Trojan_CobaltStrike_1787eef5
https://github.com/chronicle/GCTI,CobaltStrike__Resources_Artifact32_and_Resources_Dropper_v1_45_to_v4_x,CobaltStrike_Resources_Artifact32_v3_14_to_v4_x
https://github.com/Neo23x0/signature-base,apt_cobaltstrike_evasive,CobaltStrike_MZ_Launcher
https://github.com/Neo23x0/signature-base,gen_cobaltstrike_by_avast,Cobaltbaltstrike_Beacon_x64
https://github.com/chronicle/GCTI,CobaltStrike__Sleeve_BeaconLoader_all,CobaltStrike_Sleeve_BeaconLoader_VA_x64_o_v4_3_v4_4_v4_5_and_v4_6
https://github.com/Neo23x0/signature-base,apt_cobaltstrike,HKTL_CobaltStrike_Beacon_4_2_Decrypt
https://github.com/Neo23x0/signature-base,apt_cobaltstrike_evasive,CobaltStrike_Sleep_Decoder_Indicator
https://github.com/Neo23x0/signature-base,gen_cobaltstrike,HKTL_CobaltStrike_SleepMask_Jul22
https://github.com/Neo23x0/signature-base,gen_loaders,ReflectiveLoader
https://github.com/Neo23x0/signature-base,gen_metasploit_payloads,HKTL_Meterpreter_inMemory
https://github.com/advanced-threat-research/Yara-Rules,MALW_cobaltstrike,MALW_cobaltrike
https://github.com/chronicle/GCTI,CobaltStrike__Resources_Beacon_Dll_All_Versions_MemEnabled,CobaltStrike_Sleeve_Beacon_x64_v4_5_variant
https://github.com/ditekshen/detection,indicator_suspicious,INDICATOR_SUSPICIOUS_ReflectiveLoader
