source,ruleset_name,rule_name
https://github.com/InQuest/yara-rules-vt,Windows_API_Function,Windows_API_Function
https://github.com/Neo23x0/signature-base,gen_empire,Empire_PowerShell_Framework_Gen4
https://github.com/Neo23x0/signature-base,gen_empire,Empire_Get_Keystrokes
https://github.com/Neo23x0/signature-base,gen_github_net_redteam_tools_guids,HKTL_NET_GUID_PoshC2_Misc
https://github.com/Neo23x0/signature-base,gen_p0wnshell,Hacktool_Strings_p0wnedShell
https://github.com/InQuest/yara-rules-vt,Base64_Encoded_URL,Base64_Encoded_URL
https://github.com/Neo23x0/signature-base,gen_empire,Empire_Invoke_Mimikatz_Gen
https://github.com/Neo23x0/signature-base,gen_empire,Empire_PowerShell_Framework_Gen1
https://github.com/Neo23x0/signature-base,gen_empire,Empire_PowerShell_Framework_Gen2
https://github.com/Neo23x0/signature-base,gen_empire,Empire_PowerShell_Framework_Gen3
https://github.com/Neo23x0/signature-base,gen_empire,Empire_Invoke_CredentialInjection_Invoke_Mimikatz_Gen
https://github.com/Neo23x0/signature-base,gen_empire,Empire_Invoke_Gen
https://github.com/Neo23x0/signature-base,gen_invoke_mimikatz,Invoke_Mimikatz
https://github.com/Neo23x0/signature-base,gen_mimikatz,power_pe_injection
https://github.com/Neo23x0/signature-base,gen_powershell_empire,Empire_Invoke_Mimikatz
https://github.com/Neo23x0/signature-base,gen_powershell_susp,SUSP_PowerShell_String_K32_RemProcess
https://github.com/Neo23x0/signature-base,gen_powershell_toolkit,ps1_toolkit_Invoke_Mimikatz
https://github.com/Neo23x0/signature-base,gen_powershell_toolkit,ps1_toolkit_Invoke_Mimikatz_RelfectivePEInjection
https://github.com/elastic/protections-artifacts,Windows_Hacktool_Mimikatz,Windows_Hacktool_Mimikatz_355d5d3a
https://github.com/Neo23x0/signature-base,gen_powershell_susp,Suspicious_PowerShell_WebDownload_1
https://github.com/ditekshen/detection,indicator_suspicious,INDICATOR_SUSPICIOUS_PWSH_B64Encoded_Concatenated_FileEXEC
